Category,Model,Model Year,Manufacturer,Fuel,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Engine Type,Number of Passengers,Heavy-Duty Power System,Notes,Drivetrain
Vocational/Cab Chassis,"G1, G2",,Greenkraft,Propane|CNG - Compressed Natural Gas,,,,,,,,,,GMC 6.0L V8,,
Vocational/Cab Chassis,"G3, G4",,Greenkraft,Propane|CNG - Compressed Natural Gas,,,,,,,,,,GMC 8.0L V8,,
Refuse,"Front Loader: Half/Pack (including Automated), Half/Pack Freedom, Half/Pack Sierra, Half/Pack Low Rider (including Automated)",,Heil Environmental,CNG - Compressed Natural Gas,,,,,,,,,,Cummins Westport L9N 8.9L Near Zero,Half/Pack models available with CNrG tailgate fuel-delivery system.,
Refuse,"Rear Loader: PowerTrak, PowerTrak Commercial, DuraPack 4060 and 5000, PT 1000, Under CDL Mini Rear Loader",,Heil Environmental,CNG - Compressed Natural Gas,,,,,,,,,,Cummins Westport L9N 8.9L Near Zero,,
Refuse,"Side Loader: Command-SST, DuraPack Python and Rapid Rail, Liberty and MultiPack Automated",,Heil Environmental,CNG - Compressed Natural Gas,,,,,,,,,,Cummins Westport L9N 8.9L Near Zero,Command SST model available with CNrG tailgate fuel-delivery system.,
Vocational/Cab Chassis,L6 Conventional,,Hino,Biodiesel (B20),,,,,,,,,,Cummins ISB6.7,"According to manufacturer: 23,000-25,900 GVWR; available in Day Cab, Extended Cab, or Crew Cab",
Vocational/Cab Chassis,L7 Conventional,,Hino,Biodiesel (B20),,,,,,,,,,Cummins ISB6.7,"According to manufacturer: 33,000 GVWR; available in Day Cab, Extended Cab, or Crew Cab",
TractorVocational/Cab Chassis,XL7 Conventional,,Hino,Biodiesel (B20),,,,,,,,,,Cummins ISL 9L,"According to manufacturer: 33,000 GVWR; available in Day Cab, Extended Cab, or Crew Cab
",
TractorVocational/Cab Chassis,XL8 Conventional,,Hino,Biodiesel (B20),,,,,,,,,,Cummins ISL 9L,"According to manufacturer: 34,200-66,000 GVWR; available in Day Cab, Extended Cab, or Crew Cab",
Passenger Van/Shuttle Bus,Carriage ,,Hometown Manufacturing,CNG - Compressed Natural Gas|Propane,,,,,,,,,24,Ford 7.3L V8,,
Passenger Van/Shuttle Bus,Commuter,,Hometown Manufacturing,CNG - Compressed Natural Gas,,,,,,,,,40,Cummins Westport L9N 8.9L Near Zero,,
Transit Bus,Mainstreet,,Hometown Manufacturing,CNG - Compressed Natural Gas,,,,,,,,,40,Cummins Westport L9N 8.9L Near Zero,,
Transit Bus,Streetcar,,Hometown Manufacturing,CNG - Compressed Natural Gas,,,,,,,,,40,Cummins Westport L9N 8.9L Near Zero,,
Transit Bus,Urban,,Hometown Manufacturing,CNG - Compressed Natural Gas,,,,,,,,,40,Cummins Westport L9N 8.9L Near Zero,,
Transit Bus,View,,Hometown Manufacturing,CNG - Compressed Natural Gas|Propane,,,,,,,,,42,Ford 7.3L V8,"According to manufacturer: Based on Ford 550 chassis, available in 32' and 36' lengths; 24,000 GVWR",
Passenger Van/Shuttle Bus,Villager,,Hometown Manufacturing,CNG - Compressed Natural Gas|Propane,,,,,,,,,45,Ford 7.3L V8,,
School Bus,CE Series,,IC Bus,Propane,,,,,,,,,78,Powertrain Solutions International (PSI) 8.8L,,
Vocational/Cab Chassis,"FTR, FVR",,Isuzu,Biodiesel (B20),,,,,,,,,,Cummins ISB6.7,"According to manufacturer: Up to 33,000 GVWR; available in Standard Cab only",
Vocational/Cab Chassis,"NPR-HD, NPR-XD, NQR, NRR",,Isuzu,Biodiesel (B20),,,,,,,,,,Isuzu 5.2L,"According to manufacturer: Up to 19,500 GVWR; available in Standard or Crew Cab",
Vocational/Cab Chassis,T180/T280,,Kenworth,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,,,Cummins Westport L9N 8.9L Near Zero,"According to manufacturer: Up to 26,000 lb rating",
Tractor,T680,,Kenworth,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,,,Cummins Westport ISX12N 11.9L Near Zero|Cummins Westport L9N 8.9L Near Zero,,
Tractor,T880,,Kenworth,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,,,,Cummins Westport ISX12N 11.9L Near Zero,,
Vocational/Cab Chassis,T880,,Kenworth,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,,,Cummins Westport ISX12N 11.9L Near Zero,,
Tractor,Anthem - Class 8,,Mack,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,,,Cummins Westport ISX12N 11.9L Near Zero,,
Refuse,LR,,Mack,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,,,,Cummins Westport L9N 8.9L Near Zero,"According to manufacturer: Available in Front-, Side-, and Rear-Loader models",
Vocational/Cab Chassis,TerraPro Cab Over,,Mack,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,,,Cummins Westport L9N 8.9L Near Zero,,
Refuse,TerraPro Cab Over,,Mack,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,,,,Cummins Westport L9N 8.9L Near Zero,According to manufacturer: Available in Front- and Rear-Loader models,
Transit Bus,D4000 Commuter Coach,,MCI,CNG - Compressed Natural Gas,,,,,,,,,49,Cummins Westport ISX12N 11.9L Near Zero,,
Transit Bus,D4500 Commuter Coach,,MCI,CNG - Compressed Natural Gas,,,,,,,,,57,Cummins Westport ISX12N 11.9L Near Zero,,
Refuse,"Front Loaders: Meridian, Atlantic, Contendor - Class 8",,McNeilus,CNG - Compressed Natural Gas,,,,,,,,,,Cummins Westport L9N 8.9L Near Zero|Cummins Westport ISX12N 11.9L Near Zero,,
Refuse,"Rear Loader: Standard, Heavy Duty, Extra Compaction,Tag Axle, Split Body, M2 - Class 8",,McNeilus,CNG - Compressed Natural Gas,,,,,,,,,,Cummins Westport ISX12N 11.9L Near Zero|Cummins Westport L9N 8.9L Near Zero,,
Refuse,"Side Loader: AutoReach, Manual/Automated, Zero Radius - Class 8",,McNeilus,CNG - Compressed Natural Gas,,,,,,,,,,Cummins Westport L9N 8.9L Near Zero|Cummins Westport ISX12N 11.9L Near Zero,,
Vocational/Cab Chassis,"Standard, Bridgemaster, Oshkosh S-Series - Class 8",,McNeilus,CNG - Compressed Natural Gas,,,,,,,,,,Cummins Westport L9N 8.9L Near Zero|Cummins Westport ISX12N 11.9L Near Zero,,
Transit Bus,Xcelsior 35',,New Flyer,CNG - Compressed Natural Gas,,,,,,,,,33,Cummins ISB6.7|BAE Systems HybriDrive®|Allison Transmission hybrid drive,,
Transit Bus,Xcelsior 35',,New Flyer,CNG - Compressed Natural Gas,,,,,,,,,32,Cummins Westport L9N 8.9L Near Zero,,
Transit Bus,Xcelsior 40',,New Flyer,CNG - Compressed Natural Gas,,,,,,,,,40,Cummins Westport L9N 8.9L Near Zero,,
Transit Bus,Xcelsior 60',,New Flyer,CNG - Compressed Natural Gas,,,,,,,,,62,Cummins Westport L9N 8.9L Near Zero,,
Transit Bus,Xcelsior CHARGE H2 40',,New Flyer,Hydrogen Fuel Cell,,,,,,,,,40,Siemens  ELFA2 Electric Drive System 160kW,,
Transit Bus,Xcelsior CHARGE H2 60',,New Flyer,Hydrogen Fuel Cell,,,,,,,,,52,Siemens  ELFA2 Electric Drive System 320kW,Also available with the ZF AVE130 In-Wheel Motor Center Drive Axle,
Street Sweeper,Osprey II sweeper,,Nitehawk,Propane - Bi-fuel,,,,,,,,,,GMC 6.0L V8,This is a bifuel vehicle based on the GMC 2500HD chassis.,
Street Sweeper,Osprey II sweeper,,Nitehawk,Ethanol (E85),,,,,,,,,,Ford 6.2L V8,This is a flex fuel vehicle based on the Ford F-250 chassis,
Street Sweeper,Raptor II sweeper,,Nitehawk,CNG - Compressed Natural Gas|Propane - Bi-fuel,,,,,,,,,,GMC 6.0L V8,"Based on the Isuzu NPR chassis. The propane version is bifuel, whereas the CNG version is dedicated.",
Transit Bus,LFS CNG - Class 8,,Nova Bus,CNG - Compressed Natural Gas,,,,,,,,,41,Cummins Westport L9N 8.9L Near Zero,Total capacity 75 passengers.,
Vocational/Cab Chassis,520,,Peterbilt,CNG - Compressed Natural Gas,,,,,,,,,,Cummins Westport L9N 8.9L Near Zero|Cummins Westport ISX12N 11.9L Near Zero,,
Vocational/Cab Chassis,535 - Class 5,,Peterbilt,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,Automatic|Manual,,,Cummins Westport B6.7N Near Zero,,
Vocational/Cab Chassis,536 - Class 6,,Peterbilt,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,Automatic|Manual,,,Cummins Westport L9N 8.9L Near Zero|Cummins Westport B6.7N Near Zero,,
Vocational/Cab Chassis,537 - Class 7,,Peterbilt,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,Manual|Automatic,,,Cummins Westport B6.7N Near Zero|Cummins Westport L9N 8.9L Near Zero,,
Vocational/Cab Chassis,548 - Class 8,,Peterbilt,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,Manual|Automatic,,,Cummins Westport B6.7N Near Zero|Cummins Westport L9N 8.9L Near Zero,,
TractorVocational/Cab Chassis,567 - Class 8,,Peterbilt,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,Automatic|Manual,,,Cummins Westport L9N 8.9L Near Zero|Cummins Westport ISX12N 11.9L Near Zero,,
Vocational/Cab ChassisTractor,579,,Peterbilt,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,Automatic|Manual,,,Cummins Westport ISX12N 11.9L Near Zero,,
Pickup,2500/3500 HD,,RAM,Biodiesel (B20),,,,,,,,,,Cummins ISB6.7,,
Vocational/Cab Chassis,3500/4500/5500,,RAM,Biodiesel (B20),,,,,,,,,,Cummins ISB6.7,,
Street Sweeper,A7 Tornado sweeper - Class 6,,Schwarze Industries,CNG - Compressed Natural Gas,,,,,,,,,,,,
Street Sweeper,A7 Zephyr sweeper - Class 6,,Schwarze Industries,CNG - Compressed Natural Gas,,,,,,,,,,,,
Street Sweeper,M6 Avalanche,,Schwarze Industries,CNG - Compressed Natural Gas,,,,,,,,,,,,
School Bus,Minotour - Class 4,,Thomas Built,CNG - Compressed Natural Gas|Propane,,,,,,,,,30,Freightliner Custom Chassis DriveForce 6.0L V8|GMC 6.0L V8,,
Passenger Van/Shuttle Bus,Minotour Activity - Class 4,,Thomas Built,CNG - Compressed Natural Gas|Propane,,,,,,,,,30,GMC 6.0L V8|Freightliner Custom Chassis DriveForce 6.0L V8,,
Passenger Van/Shuttle Bus,Saf-T-Liner C2 Activity,,Thomas Built,CNG - Compressed Natural Gas,,,,,,,,,81,Cummins Westport B6.7N Near Zero,,
School Bus,Saf-T-Liner HDX - Class 8,,Thomas Built,CNG - Compressed Natural Gas,,,,,,,,,90,Cummins Westport L9N 8.9L Near Zero,,
Passenger Van/Shuttle Bus,Saf-T-Liner HDX Activity - Class 8,,Thomas Built,CNG - Compressed Natural Gas,,,,,,,,,90,Cummins Westport L9N 8.9L Near Zero,,
Passenger Van/Shuttle Bus,Transit-Liner C2,,Thomas Built,CNG - Compressed Natural Gas,,,,,,,,,52,Cummins Westport B6.7N Near Zero,,
Passenger Van/Shuttle Bus,Transit-Liner HDX,,Thomas Built,CNG - Compressed Natural Gas,,,,,,,,,54,Cummins Westport L9N 8.9L Near Zero,,
Tractor,Pro Spotter,,TICO,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,,,Cummins Westport B6.7N Near Zero,,
Passenger Van/Shuttle Bus,Ford - Odyssey,,Turtle Top,Propane|CNG - Compressed Natural Gas,,,,,,,,,25,Ford 7.3L V8,,
Passenger Van/Shuttle Bus,Ford - Odyssey XL,,Turtle Top,CNG - Compressed Natural Gas|Propane,,,,,,,,,36-49,Ford 7.3L V8,,
Passenger Van/Shuttle Bus,Ford - Van Terra,,Turtle Top,CNG - Compressed Natural Gas|Propane,,,,,,,,,15-18,Ford 7.3L V8,,
Passenger Van/Shuttle Bus,Ford - VT3,,Turtle Top,Propane|CNG - Compressed Natural Gas,,,,,,,,,17,,,
Street Sweeper,500x,,TYMCO,CNG - Compressed Natural Gas,,,,,,,,,,Cummins Westport L9N 8.9L Near Zero,,
Street Sweeper,600,,TYMCO,CNG - Compressed Natural Gas,,,,,,,,,,Cummins Westport L9N 8.9L Near Zero,,
Street Sweeper,HSP,,TYMCO,CNG - Compressed Natural Gas,,,,,,,,,,Cummins Westport L9N 8.9L Near Zero,,
